Signal:	FFT - Vib Velocity - Magnitude [dB]
dB-Reference:	0 dB = 1 m/s
Frequency	Magnitude
[ Hz ]	[ dB ]
0.244140625	-104.8919
0.48828125	-103.4385
0.732421875	-100.2088
0.9765625	-95.98922
1.220703125	-89.91124
1.46484375	-78.17125
1.708984375	-82.70028
1.953125	-89.01879
2.197265625	-91.15742
2.44140625	-90.33485
2.685546875	-84.56342
2.9296875	-87.86324
3.173828125	-92.70667
3.41796875	-94.4267
3.662109375	-95.23174
3.90625	-95.84022
4.150390625	-96.14372
4.39453125	-95.70346
4.638671875	-95.07638
4.8828125	-95.31229
5.126953125	-94.83499
5.37109375	-93.50243
5.615234375	-91.08222
5.859375	-86.9429
6.103515625	-78.34424
6.34765625	-80.28716
6.591796875	-87.65274
6.8359375	-90.02102
7.080078125	-91.00797
7.32421875	-91.63499
7.568359375	-92.04976
7.8125	-92.16172
8.056640625	-92.14891
8.30078125	-92.03941
8.544921875	-91.83666
8.7890625	-91.6069
9.033203125	-91.26497
9.27734375	-90.52879
9.521484375	-89.49178
9.765625	-88.18864
10.009765625	-86.18593
10.25390625	-83.4119
10.498046875	-79.47871
10.7421875	-78.59567
10.986328125	-83.80969
11.23046875	-87.0137
11.474609375	-88.00651
11.71875	-87.90594
11.962890625	-87.24343
12.20703125	-86.21886
12.451171875	-84.87268
12.6953125	-83.03893
12.939453125	-80.45464
13.18359375	-77.37045
13.427734375	-72.98799
13.671875	-73.74448
13.916015625	-81.2281
14.16015625	-84.45461
14.404296875	-85.70756
14.6484375	-86.4717
14.892578125	-86.63553
15.13671875	-86.10974
15.380859375	-84.31362
15.625	-83.90438
15.869140625	-89.40237
16.11328125	-86.75279
16.357421875	-85.18748
16.6015625	-84.60095
16.845703125	-88.13091
17.08984375	-86.334
17.333984375	-85.28629
17.578125	-84.59454
17.822265625	-81.68777
18.06640625	-83.01692
18.310546875	-81.83942
18.5546875	-80.51503
18.798828125	-79.33134
19.04296875	-77.39398
19.287109375	-74.82247
19.53125	-71.1234
19.775390625	-65.83748
20.01953125	-69.70695
20.263671875	-74.52719
20.5078125	-74.95885
